Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Backlog,Reopened,On Hold,Refined,In Development,Ready for test,In Testing,Waiting for acceptance,In Progress,Done,Abandoned,,,,
,CALLS-1431,Refactor Java delegates to be used in two definitions,12/18/25,0.00h,,23.42h,,,,3.88h,1.38h,20.82h,21.60h,,,3167.68h,,,,,
,CALLS-1430,"Data mapping and error handling for ""Use Gateway limits"" service task in massPaymentHeader process definition",3/3/26,0.10h,,91.67h,,,,717.47h,295.10h,452.33h,380.73h,,,1369.28h,,,,,
,CALLS-1429,Rename header total and largest amount fields in PaymentHeaderTotalsVerification delegate,12/18/25,0.00h,,91.80h,,,,3.75h,1.38h,20.80h,21.73h,,,3167.55h,,,,,
,CALLS-1428,Prepare script for user group setup in DB,1/12/26,769.77h,,0.00h,,,,0.00h,2.92h,0.00h,0.00h,,,2563.13h,,,,,
,CALLS-1427,Create service limitation API Java Delegate for SALAHeader (MASS) process definition,1/14/26,0.00h,,18.00h,,,,123.90h,114.87h,72.20h,23.18h,,,3002.03h,,,,,
,CALLS-1426,Move BPMN cancellation script task functionality to JavaDelegate,1/7/26,0.00h,,4.43h,,,,0.00h,145.83h,164.20h,356.73h,,,2688.28h,,,,,
,CALLS-1425,Remittance information (unstructured) MIG rules testing,3/3/26,29.03h,,0.00h,,,,0.00h,,1961.62h,,,,,1369.23h,,,,
,CALLS-1424,Remittance information (Structured) MIG rules testing,3/3/26,29.07h,,0.00h,,,,0.00h,,1961.60h,,,,,1369.25h,,,,
,CALLS-1423,Regulatory reporting MIG rules testing,3/4/26,29.20h,,0.00h,,,,0.00h,,1773.73h,221.18h,,,1335.95h,,,,,
,CALLS-1422,Creditor MIG rules testing,3/13/26,29.22h,,0.00h,,,,0.00h,,17.77h,2190.18h,,,1122.88h,,,,,
,CALLS-1421,Creditor agent MIG rules testing,3/17/26,29.22h,,0.00h,,,,0.00h,,888.22h,1416.73h,,,1025.90h,,,,,
,CALLS-1420,Intermediary agent1 MIG rules testing,2/20/26,29.23h,,0.00h,,,,0.00h,,1290.02h,413.78h,,,1627.05h,,,,,
,CALLS-1419,Ultimate Creditor MIG rules testing,1/19/26,29.25h,,0.00h,,,,0.00h,,665.77h,271.13h,,,2393.97h,,,,,
,CALLS-1418,Ultimate Debtor MIG rules testing,1/16/26,29.28h,,0.00h,,,,0.00h,,452.70h,406.88h,,,2471.28h,,,,,
,CALLS-1417,Debtor MIG rules testing,2/12/26,29.30h,,0.00h,,,,0.00h,,0.37h,1506.18h,,,1824.30h,,,,,
