Type,Key,Summary,Resolution Date,Open,Investigation,Ready for Refinement,Reopened,On Hold,To Do,Backlog,ON-HOLD testing,In Testing,Refined,In Development,Ready for test,Blocked,Selected for Development,In Progress,Waiting for acceptance,Done,Abandoned
Test,PAYME-1662,AC6,1/16/26,0.18h,,,,,,,,,,,,,,,,2466.57h,
Test,PAYME-1661,TC1 [PAYME-1636] Retry process when payment has been cancelled,1/16/26,0.00h,,0.00h,,,,,,0.00h,0.00h,,0.00h,,,,,2466.88h,
Test,PAYME-1660,AC7,1/16/26,0.10h,,,,,,,,,,,,,,,,2466.83h,
Test,PAYME-1659,AC5,1/16/26,0.88h,,,,,,,,,,,,,,,,2466.95h,
Test,PAYME-1658,AC3,1/16/26,0.03h,,,,,,,,,,,,,,,,2467.85h,
Test,PAYME-1657,AC1,1/16/26,0.15h,,,,,,,,,,,,,,,,2467.90h,
Test,PAYME-1655,AC4,1/23/26,1.00h,,,,,,,166.13h,0.00h,,,,,,,,2301.22h,
Test,PAYME-1654,AC2,1/16/26,0.63h,,,,,,,,,,,,,,,,2468.40h,
,PAYME-1652,"[iBank] List of payments page - mass payments, in status ""In progress"" can be confirmed",2/19/26,601.25h,0.00h,0.00h,73.43h,,,,,2.58h,0.03h,142.55h,20.22h,,,,,1653.38h,
,PAYME-1650,"The new button ""Perform VOP"" requirements should be applicable also for Mass/Salary payments",3/2/26,0.57h,,69.65h,19.15h,,,,25.47h,172.23h,0.00h,647.23h,214.65h,,,,,1388.77h,
,PAYME-1878,[FP] Change head.001 version for all RTGS messages,,645.42h,,1342.98h,,339.07h,,,,0.00h,0.00h,22.35h,191.73h,,,,,,
,PAYME-1880,[FP] Change camt.050/head.001 versions for T2 Own Transfers,4/28/26,574.25h,,1490.83h,,,,,,19.32h,427.63h,0.00h,5.38h,,,,,25.82h,
,PAYME-1649,"Foreign payments regression testing on Skyvaut in EE, LV,LT [26-30.01.2026]",2/2/26,360.42h,,0.00h,,,,,,77.95h,0.00h,,45.83h,,,,,2059.18h,
,PAYME-1648,"Payment performance testing on Skyvaut in EE, LV,LT [26-30.01.2026]",2/2/26,360.52h,,0.00h,,,,,,77.58h,0.00h,,46.68h,,,,,2058.72h,
Test,PAYME-1647,TC1 [PAYME-1621] Retry process when core payment data was changed,1/16/26,73.90h,,0.00h,,,,,,22.47h,0.00h,,0.00h,,,,,2466.97h,
Test,PAYME-1646,TC2 [PAYME-1577] Postponed retry processing,1/16/26,73.92h,,0.00h,,,,,,22.42h,0.00h,,0.00h,,,,,2467.00h,
Test,PAYME-1645,TC1 [PAYME-1577] Retry process with sending back to AQ,1/16/26,0.02h,,0.00h,,,,,,94.10h,0.00h,,0.00h,,,,,2469.23h,
,PAYME-1644,[core-payment-order-data-manager] Decouple vopSts and mtchCd to be able post only vopSts,1/14/26,0.00h,,0.00h,,,,,,0.00h,0.00h,21.27h,24.58h,,,,,2517.77h,
